droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
ibuprofeno,ibuprofeno,90,"ACTRON GEL, ACTRON MUJER RAPIDA ACCIO, COPIRON 4%","clases en disputa: {'Aparato Locomotor: Antiinflamatorios no Esteroides\nPiel y Mucosas: Antiinflamatorios Analgésicos Tópicos\nSistema Nervioso Central: Analgésicos Antitérmicos': 3, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nSistema Nervioso Central: Analgésicos Antitérmicos': 48, 'Aparato Locomotor: Analgésico\nAparato Locomotor: Antiinflamatorios no Esteroides': 5}",,
carvedilol,carvedilol,57,"ANTIBLOC 12.5, ANTIBLOC 25, ANTIBLOC 6.25","clases en disputa: {'Aparato Circulatorio: Antianginosos\nAparato Circulatorio: Antihipertensivos\nAparato Circulatorio: Tratamiento Insuficiencia Cardíaca Congestiva': 4, 'Aparato Circulatorio: Antianginosos\nAparato Circulatorio: Antihipertensivos': 31, 'Aparato Circulatorio: Antihipertensivos': 26, 'Aparato Circulatorio: Antianginosos\nAparato Circulatorio: Antiarrítmicos': 3}",,
pregabalina,pregabalina,55,"DOLONEUTIN, DOLONEUTIN PRACTIDOSIS, GABADOL","clases en disputa: {'Sistema Nervioso Central: Anticonvulsivantes Antiepilépticos': 55, 'Sistema Nervioso Central: Antidepresivos': 2}",,
etoricoxib,etoricoxib,47,"CRACOX 120, CRACOX 60, CRACOX 90","clases en disputa: {'Aparato Locomotor: Antiartrósicos\nAparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Antirreumáticos Antiartríticos': 36, 'Aparato Locomotor: Analgésico\nAparato Locomotor: Antiinflamatorios no Esteroides': 8, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Antirreumáticos Antiartríticos': 4}",,
paracetamol,paracetamol,46,"ANAFLEX, ANAFLEX FORTE, FIEBROLEX FORTE","atc en disputa: {'R05CB10': 1, 'N02BE01': 30} | clases en disputa: {'Otorrinolaringológicos: Descongestivos Nasales Antialérgicos': 1, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nSistema Nervioso Central: Analgésicos Antitérmicos': 33, 'Sistema Nervioso Central: Analgésicos Antitérmicos': 4, 'Aparato Locomotor: Analgésico\nSistema Nervioso Central: Analgésicos Antitérmicos': 1}",,
diclofenac sódico,diclofenac sodico,42,"ACLOXIGENAC, ACLOXIGENAC LP, ANAFLEX",,,
"amoxicilina, clavulánico,ác.",ac. + amoxicilina + clavulanico,33,"AMIXEN CLAVULANICO 1 G, AMOXI PLUS MAR, AMOXICILINA CLAVULANICO F500/125 mg",,,
esomeprazol,esomeprazol,33,"ADIKAN, DATISAN, ESOMEPRA 20 MG","clases en disputa: {'Aparato Digestivo: Antiulcerosos': 21, 'Aparato Digestivo: Antiulcerosos\nAparato Digestivo: Antiácidos': 7, 'Aparato Digestivo: Antiácidos': 3, 'Aparato Digestivo: Antiinflamatorios Intestinales\nAparato Digestivo: Antiulcerosos': 3}",,
sertralina,sertralina,33,"ATENIX, DIMENA, INSERTEC 100","clases en disputa: {'Sistema Nervioso Central: Antipsicóticos Neurolépticos': 2, 'Sistema Nervioso Central: Antidepresivos': 13}",,
tadalafilo,tadalafilo,32,"ALMAXIMO 36, CIALIS 20, CIALIS 5","clases en disputa: {'Aparato Genito-Urinario: Terapéutica Prostática\nAparato Genito-Urinario: Tratamiento de Disfunciones Sexuales': 8, 'Aparato Genito-Urinario: Tratamiento de Disfunciones Sexuales': 23, 'Aparato Circulatorio: Antihipertensivos\nAparato Genito-Urinario: Tratamiento de Disfunciones Sexuales': 5, 'Aparato Genito-Urinario: Terapéutica Prostática': 1}",,
diclofenac potásico,diclofenac potasico,29,"ARTROSTOP T CALIENTE, BEFOL VL, DICLOFENAC POTASICO CEVAL",,,
eritropoyetina recombinante humana,eritropoyetina recombinante humana,23,"EPOGEN, HEMASTIM P, HEMASTIM P JP",,,
olanzapina,olanzapina,23,"OLANZANOVA, OLANZAPINA  ROSPAW, OLANZAPINA TEVA","clases en disputa: {'Sistema Nervioso Central: Analgésicos Narcóticos': 4, 'Sistema Nervioso Central: Antipsicótico': 8, 'Sistema Nervioso Central: Antipsicóticos Neurolépticos': 10}",,
"diclofenac potásico, paracetamol",diclofenac potasico + paracetamol,22,"ARIFLENAC FORTE, ARTRO RED, ARTROSTOP FORTE CALIENTE",,,
valsartán,valsartan,22,"ALPERTAN, DIAPRESAN 160, DIAPRESAN 320","atc en disputa: {'C09CA03': 42, 'C09DA03': 2}",,
budesonide,budesonide,21,"AEROVENT, AEROVENT E, AEROVIAL HFA",,,
"diclofenac, vit.b12, betametas",betametas + diclofenac + vit.b12,21,"BEFOL B12 FORTE, BLOKIUM B12 IM, DIASTONE B12",,,
"fólico,ác.",ac. + folico,21,"ACIDO FOLICO RICHMOND, ACIDO FOLICO VANNIER, ACIFOL",,,
soluc.parent/fisiol/glucos/otr,soluc.parent/fisiol/glucos/otr,21,"ADITIVOS PARENTERALES, AGUA DESTILADA INYECTABLE, SMOFLIPID 20% 500 ML",,,
"lurasidona,clorhidrato",clorhidrato + lurasidona,19,"KYTZAN 20, KYTZAN 40, KYTZAN 80",,,
azitromicina,azitromicina,18,"AZITROGAL, AZITROMICINA 500, AZITROX","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Macrólidos': 43, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Amfenicoles': 2}",,
diclofenac dietilamina,diclofenac dietilamina,18,"ALGICLER GEL DERMICO, ANAFLEX, ARTROSTOP GEL NUEVO",,,
nebivolol,nebivolol,18,"CORPRES 10, CORPRES 2.5, NABILA","clases en disputa: {'Aparato Circulatorio: Antihipertensivos': 16, 'Aparato Circulatorio: Vasodilatadores Centrales y Periféricos': 5}",,
ponatinib,ponatinib,18,"BIOPONIB, CATZEN, ICLUSIG",,,
"vit.a, alantoína, asoc.",alantoina + asoc. + vit.a,18,"BAGOVIT AE, DERMACLER EMULSION, DERMAGLOS",,,
"sulfadiazina de plata, asoc.",asoc. + sulfadiazina de plata,17,"FISIODERM, HIPOGLOS Q, PLATSUL-A AEROSOL",,,
axitinib,axitinib,16,"ALUXANTIB, AXINOVA, AXITIM","clases en disputa: {'Oncológicos y Terapias Relacionadas: Antibióticos Antineoplásicos': 4, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 2}",,
insulina humana,insulina humana,16,"BIOINSUGEN R, DENSULIN REGULAR, INSULINA DENSULIN N",,,
sunitinib,sunitinib,16,"PROREN 12.5, PROREN 25, PROREN 50",,,
temozolomida,temozolomida,16,"DRALITEM, KEMTAX, TEMONOVA 100","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 9, 'Oncológicos y Terapias Relacionadas: Coadyuvantes en Terapias Citostáticas': 4}",,
trimebutina,trimebutina,16,"BIORGAN, BIORGAN AP, COLIXANE 200","clases en disputa: {'Aparato Digestivo: Procinéticos Gastrointestinales': 1, 'Aparato Digestivo: Antiespasmódicos Anticolinérgicos': 8}",,
bromhexina,bromhexina,15,"BISOLVON ADULTO JARABE NF, BROMHEXINA GEZZI, BROMHEXINA GEZZI PEDIATRI","atc en disputa: {'R05CB02': 12, 'R05CB': 2, 'R05CA': 1}",,
"budesonide, formoterol",budesonide + formoterol,15,"BUDEFOR 200, BUDEFOR 400, FORMOVENT + BUDE",,,
"diclofenac, pridinol",diclofenac + pridinol,15,"ACLOXIGENAC PLUS, DIOXAFLEX CB PLUS, DIOXAFLEX PLUS","clases en disputa: {'Aparato Locomotor: Analgésico\nAparato Locomotor: Antiartrósicos\nAparato Locomotor: Relajantes Musculares': 1, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Relajantes Musculares': 12}",,
metronidazol,metronidazol,15,"FLAGYL, METRAL, METRONIDAZOL VANNIER","clases en disputa: {'Piel y Mucosas: Antibacterianos Tópicos\nPiel y Mucosas: Antimicóticos Tópicos': 3, 'Piel y Mucosas: Antimicóticos Tópicos': 1, 'Antiinfecciosos de Uso Sistémico: Antibacterianos': 9, 'Antiinfecciosos de Uso Sistémico: Antiprotozoarios': 4, 'Antiinfecciosos de Uso Sistémico: Antiprotozoarios\nAparato Genito-Urinario: Antiinfecciosos de Acción Local\nAparato Genito-Urinario: Antimicóticos de Acción Local': 2, 'Aparato Genito-Urinario: Antiinfecciosos de Acción Local\nAparato Genito-Urinario: Antimicóticos de Acción Local\nPiel y Mucosas: Antialérgicos Tópicos Antipruriginosos\nPiel y Mucosas: Antibacterianos Tópicos\nPiel y Mucosas: Antibacterianos Tópicos con Corticoesteroides': 1}",,
clobetasol,clobetasol,14,"CLOBEFAR CREMA, CLOBEFAR UNGUENTO, DERMEXANE","clases en disputa: {'Piel y Mucosas: Antialérgicos Tópicos Antipruriginosos': 22, 'Piel y Mucosas: Antisépticos Desinfectantes\nPiel y Mucosas: Reconstituyentes Dérmicos Cicatrizantes': 1}",,
eritromicina,eritromicina,14,"ERI LOCION, ERISOL, ERIT BIOQUIM","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Macrólidos': 2, 'Oftálmicos: Antiinfecciosos': 2, 'Piel y Mucosas: Antiacneicos\nPiel y Mucosas: Antibacterianos Tópicos': 1}",,
fsh,fsh,14,"FOLITIME, GONAL-F 2.0 300 UI, GONAL-F 2.0 450 UI",,,
nilotinib,nilotinib,14,"HENILOT, LINOTAX, NILOTINIB ECZANE","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 2, 'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 3}",,
nimodipina,nimodipina,14,"ACIVAL, EXPLANER 60, MACOBAL 30 MG",,,
vit.d3,vit.d3,14,"DEBLAX, DENURIX D3, DEVISAL CB 20000",,,
azacitidina,azacitidina,13,"AMILIX, AZAMEX, AZANOVA","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 3, 'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 1}",,
"diosmina, hesperidina micronizada",diosmina + hesperidina micronizada,13,"ATUREN, CVP FLEBO, DIOSMIN 1000",,,
naproxeno,naproxeno,13,"MOX 500, NAPROQUIN, NAPROXENO VANNIER","clases en disputa: {'Aparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Antirreumáticos Antiartríticos': 9, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nSistema Nervioso Central: Analgésicos Antitérmicos': 7, 'Aparato Locomotor: Antiinflamatorios no Esteroides': 1, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Quinolonas': 1}",,
somatotrofina,somatotrofina,13,"HHT, HHT PEN, HUTROPE",,,
antígenos virus influenza,antigenos virus influenza,12,"AFLURIA QUAD, AFLURIA QUAD JUNIOR, AGRIPPAL S1",,,
dapagliflozina,dapagliflozina,12,"DACTILUS, DAURAN, DONSYBA","atc en disputa: {'A10BK01': 3, 'A10BD15': 2}",,
imatinib,imatinib,12,"IMATIB, IMATINIB GP PHARM, IMATINOVA","clases en disputa: {'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 9, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 2}",,
"paracetamol, fenilefrina, asoc",asoc + fenilefrina + paracetamol,12,"BIOGRIP TE DESCONGESTIVO, EXPECTOSAN ANTIGRIPAL, INMUNOGRIP PLUS",,,
"sodio,cloruro",cloruro + sodio,12,"AMUCHINA 100%, CLORHYP FQ, HYPERSOL","atc en disputa: {'S01XA': 2, 'S01XA03': 1, 'R01AX10': 1} | clases en disputa: {'Oftálmicos: Lubricantes': 2, 'Oftálmicos: Lubricantes Soluciones de Limpieza': 3, 'Aparato Respiratorio: Antitusivos Expectorantes Mucolíticos': 1}",,
"bendamustina,clorh.",bendamustina + clorh.,11,"BEMUX, BENDAM, BENDAVAR",,,
betametasona,betametasona,11,"BETACORT, BETACORT CASSARA, BETAVALMAX","atc en disputa: {'D07AC01': 9, 'H02AB01': 3}",,
clotrimazol,clotrimazol,11,"CLOTRIMAZOL GEZZI, DERTRIM, EMPECID GYNO 3 DIAS","atc en disputa: {'D01AC01': 13, 'A01AB18': 1} | clases en disputa: {'Piel y Mucosas: Antimicóticos Tópicos': 13, 'Aparato Genito-Urinario: Antimicóticos de Acción Local': 2}",,
dexametasona,dexametasona,11,"DECADRON, DECADRON AL, DEXAMETASONA","clases en disputa: {'Oftálmicos: Antiinflamatorios Antialérgicos': 2, 'Hormonoterápicos: Corticoesteroides': 19, 'Oftálmicos: Corticoesteroides': 1}",,
enoxaparina sódica,enoxaparina sodica,11,"ENOPARIN, ENOXANORTH, ENOXAPARINA CELTYC",,,
ketorolac trometamina,ketorolac trometamina,11,"DIROLAC SL, KETIAL, KETIAL RAPID",,,
"sitagliptina, metformina,clorh",clorh + metformina + sitagliptina,11,"ESLIPEL MET, SOTIL MET, SOTIL MET XR",,,
"sulfametoxazol, trimetoprima",sulfametoxazol + trimetoprima,11,"ADRENOL FORTE, BACTICEL, BACTRIM FORTE","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibacterianos': 2, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Sulfonamidas y Asociaciones': 7, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Amfenicoles': 3}",,
terbinafina,terbinafina,11,"ANTIMICOTICO LAURIA PIEL, FUNGIMAX, LIKANA","atc en disputa: {'D01AE15\nD01BA02': 7, 'D01BA': 3, 'D01BA02': 2, 'D01AE15': 9}",,
"ursodesoxicólico,ác.",ac. + ursodesoxicolico,11,"DEXO, DEXO FORTE, URDECOLE",,,
anastrozol,anastrozol,10,"ANASKEBIR, ANASTROZOL ECZANE, ANASTROZOL GP PHARM","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 5, 'Oncológicos y Terapias Relacionadas: Antiestrogénicos': 1}",,
capecitabina,capecitabina,10,"BODABINA, CAPECINOVA, CAPECITABINA GP PHARM","clases en disputa: {'Oncológicos y Terapias Relacionadas: Coadyuvantes en Terapias Citostáticas': 1, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 6}",,
memantine,memantine,10,"LUCIDEX, LUCIDEX XR, MEMANTINA TEVA","clases en disputa: {'Sistema Nervioso Central: Reactivadores Neurocerebrales': 6, 'Sistema Nervioso Central: Tratamiento de la Enfermedad de Alzheimer': 3}",,
peg 3350,peg 3350,10,"BAREX UNIPEG, LAX 3350, LUMENCOL 2F",,,
rifaximina,rifaximina,10,"RIFADOM, RIFAMAX","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Otros': 6, 'Aparato Digestivo: Antibacterianos Intestinales': 16}",,
"abiraterona,acetato",abiraterona + acetato,9,"ABIRANOVA, ABIRATERONA GLENMARK, BIRAT","clases en disputa: {'Hormonoterápicos: Androgenoterapia': 5, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 2}",,
