droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
ibuprofeno,ibuprofeno,90,,,M01AE01,
carvedilol,carvedilol,57,,,C07AG02,
pregabalina,pregabalina,55,,,N03AX16,
etoricoxib,etoricoxib,47,,,M01AH05,
paracetamol,paracetamol,46,,,N02BE01,
diclofenac sódico,diclofenac sodico,42,,,M01AB05,
"amoxicilina, clavulánico,ác.",ac. + amoxicilina + clavulanico,33,,,J01CR02,
esomeprazol,esomeprazol,33,,,A02BC05,
sertralina,sertralina,33,,,N06AB06,
tadalafilo,tadalafilo,32,,,G04BE08,
